170.0,102.0,41.0,104.0,50.0,129.0,63.0,106.0,61.0,128.0
191.0,98.0,45.0,105.0,51.0,122.0,161.0,112.0,15.0,129.0
191.0,94.0,49.0,105.0,62.0,130.0,67.0,106.0,47.0,129.0
181.0,90.0,60.0,102.0,94.0,134.0,21.0,106.0,2.0,124.0
181.0,86.0,33.0,89.0,80.0,138.0,2.0,103.0,129.0,134.0
162.0,71.0,33.0,76.0,55.0,138.0,135.0,110.0,36.0,132.0
166.0,50.0,37.0,77.0,46.0,106.0,63.0,104.0,36.0,132.0
155.0,2.0,53.0,88.0,30.0,106.0,68.0,102.0,23.0,104.0
211.0,7.0,33.0,105.0,69.0,110.0,101.0,102.0,52.0,88.0
230.0,9.0,25.0,109.0,55.0,134.0,22.0,113.0,24.0,114.0
75.0,2.0,33.0,98.0,17.0,134.0,63.0,102.0,80.0,123.0
167.0,4.0,25.0,97.0,2.0,134.0,25.0,103.0,49.0,112.0
188.0,22.0,33.0,113.0,5.0,134.0,72.0,102.0,37.0,133.0
155.0,3.0,29.0,88.0,8.0,140.0,66.0,114.0,52.0,117.0
129.0,8.0,41.0,105.0,26.0,130.0,75.0,103.0,27.0,117.0
3.0,30.0,21.0,94.0,22.0,143.0,83.0,103.0,60.0,132.0
107.0,2.0,17.0,106.0,2.0,154.0,89.0,107.0,31.0,121.0
102.0,50.0,33.0,93.0,30.0,154.0,87.0,109.0,64.0,120.0
103.0,237.0,33.0,86.0,2.0,154.0,96.0,116.0,45.0,119.0
107.0,225.0,29.0,85.0,34.0,135.0,99.0,115.0,43.0,110.0
116.0,275.0,25.0,85.0,76.0,136.0,104.0,115.0,56.0,117.0
115.0,284.0,20.0,102.0,54.0,114.0,108.0,103.0,85.0,117.0
90.0,310.0,25.0,86.0,3.0,115.0,112.0,116.0,65.0,116.0
79.0,310.0,21.0,102.0,32.0,127.0,115.0,90.0,68.0,117.0
52.0,299.0,29.0,85.0,46.0,127.0,119.0,91.0,72.0,109.0
67.0,294.0,21.0,90.0,4.0,128.0,124.0,90.0,68.0,108.0
48.0,257.0,21.0,81.0,256.0,131.0,124.0,102.0,101.0,110.0
56.0,210.0,22.0,78.0,2.0,143.0,128.0,95.0,56.0,109.0
2.0,154.0,29.0,77.0,76.0,130.0,128.0,90.0,72.0,123.0
75.0,151.0,21.0,76.0,2.0,130.0,127.0,89.0,72.0,100.0
9.0,167.0,29.0,76.0,5.0,131.0,127.0,96.0,68.0,101.0
60.0,214.0,13.0,77.0,2.0,142.0,124.0,95.0,69.0,93.0
2.0,248.0,21.0,97.0,208.0,150.0,119.0,95.0,102.0,92.0
56.0,280.0,21.0,80.0,30.0,131.0,113.0,89.0,32.0,107.0
39.0,275.0,10.0,81.0,228.0,144.0,108.0,91.0,64.0,99.0
46.0,277.0,25.0,79.0,140.0,130.0,96.0,96.0,64.0,99.0
60.0,276.0,17.0,82.0,59.0,124.0,82.0,95.0,65.0,108.0
122.0,286.0,16.0,87.0,67.0,122.0,83.0,86.0,61.0,91.0
51.0,284.0,21.0,86.0,3.0,111.0,92.0,94.0,84.0,113.0
75.0,299.0,13.0,85.0,76.0,122.0,108.0,98.0,9.0,116.0
66.0,318.0,16.0,85.0,31.0,126.0,115.0,95.0,45.0,112.0
83.0,314.0,25.0,101.0,38.0,126.0,117.0,95.0,49.0,126.0
86.0,333.0,13.0,85.0,26.0,126.0,104.0,96.0,52.0,112.0
91.0,316.0,21.0,96.0,2.0,142.0,96.0,95.0,60.0,121.0
99.0,283.0,26.0,86.0,66.0,151.0,83.0,96.0,129.0,128.0
96.0,298.0,24.0,88.0,22.0,122.0,79.0,103.0,15.0,120.0
95.0,295.0,21.0,85.0,27.0,122.0,75.0,103.0,48.0,109.0
95.0,281.0,17.0,92.0,141.0,122.0,70.0,111.0,45.0,109.0
96.0,258.0,25.0,94.0,6.0,154.0,59.0,99.0,43.0,133.0
95.0,276.0,14.0,90.0,148.0,154.0,59.0,103.0,44.0,142.0
99.0,256.0,29.0,106.0,3.0,131.0,61.0,102.0,81.0,133.0
